V_R (mV) Amplitude,V_R (mV) Peak-to-Peak,Capacitance (nF),Description
192,202,4.416,4.416 nF
266,276,5.4416,4.416 nF 1 1.0256
318,330,5.9069,4.416 nF 1 1.4909
388,400,6.4294,4.416 nF 1 1.0256 nF 1 987.8nF
480,492,6.7971,3.3366nF 3.36nF 100.5pF
652,668,7.2759,4.416nF 1.4909nF 1.3690nF
656,668,8.2637,4.416nF 1.4909nF 1.3690nF 987.8pF
468,480,8.801,4.416nF 3.36nF 1.025nF
364,376,9.185,4.416nF 1.409nF 3.36nF
288,304,9.7874,4.416nF 3.36nF 1.0256nF 987.8pF
252,260,10.1706,4.416nF 3.36nF 1.0256nF 1.3690nF
184,200,11.1126,4.416nF 3.36nF 3.3366nF
696,712,7.776,4.416nF 3.36nF
700,712,7.7526,4.416nF 3.3366nF
560,576,7.0235,4.507nF 1.0256nF 1.4909nF
556,568,8.493,4.507nF 1.0256nF 1.4909nF 1.3690nF 100.5pF
